"AircraftDescription","Description","Designator","EngineCount","EngineType","ManufacturerCode","ModelFullName","WTC"
"LandPlane","L1J","L39","1","Jet","AERO (2)","Albatros","L"
"LandPlane","L1J","L159","1","Jet","AERO (2)","Albatros 2","M"
"LandPlane","L1P","L60","1","Piston","AERO (2)","Brigadyr","L"
"LandPlane","L1P","BU31","1","Piston","AERO (2)","C-104","L"
"LandPlane","L1J","MG15","1","Jet","AERO (2)","CS-102","L"
"LandPlane","L1J","L29","1","Jet","AERO (2)","Delfin","L"
"LandPlane","L1T","A270","1","Turboprop/Turboshaft","AERO (2)","Ibis","L"
"LandPlane","L1J","L29","1","Jet","AERO (2)","L-29 Delfin","L"
"LandPlane","L1J","L39","1","Jet","AERO (2)","L-39 Albatros","L"
"LandPlane","L1J","L59","1","Jet","AERO (2)","L-59","L"
"LandPlane","L1P","L60","1","Piston","AERO (2)","L-60 Brigadyr","L"
"LandPlane","L1J","L39","1","Jet","AERO (2)","L-139 Albatros","L"
"LandPlane","L1J","L159","1","Jet","AERO (2)","L-159","M"
"LandPlane","L1J","L159","1","Jet","AERO (2)","L-159  Albatros 2","M"
"LandPlane","L1J","MG15","1","Jet","AERO (2)","S-102","L"
"LandPlane","L1J","MG15","1","Jet","AERO (2)","S-103","L"
"LandPlane","L1P","BU31","1","Piston","AERO (2)","Z-131","L"
"LandPlane","L1P","AAT3","1","Piston","AERO (3)","AT-3","L"
"LandPlane","L1P","P220","1","Piston","AERO (3)","P-220-AT1","L"
"LandPlane","L1P","P220","1","Piston","AERO (3)","P-220-AT2","L"
"LandPlane","L1P","AAT4","1","Piston","AERO (3)","AT-4","L"
"Amphibian","A1P","AVTR","1","Piston","AERO ADVENTURE","Aventura 2","L"
"LandPlane","L1P","ZEP2","1","Piston","AERO ADVENTURE","Toucan","L"
"LandPlane","L1P","AB95","1","Piston","AERO BOERO","AB-95","L"
"LandPlane","L1P","AB11","1","Piston","AERO BOERO","AB-115","L"
"LandPlane","L1P","AB15","1","Piston","AERO BOERO","AB-150","L"
"LandPlane","L1P","AB18","1","Piston","AERO BOERO","AB-180","L"
"LandPlane","L1P","VO10","1","Piston","AERO COMMANDER","100 Commander 100","L"
"LandPlane","L1P","M200","1","Piston","AERO COMMANDER","200 Commander 200","L"
"LandPlane","L2P","AC50","2","Piston","AERO COMMANDER","500 Commander 500","L"
"LandPlane","L2P","AC56","2","Piston","AERO COMMANDER","560 Commander 560","L"
"LandPlane","L2P","AC68","2","Piston","AERO COMMANDER","680F Commander 680F","L"
"LandPlane","L2P","AC6L","2","Piston","AERO COMMANDER","680FL Grand Commander","L"
"LandPlane","L2P","AC68","2","Piston","AERO COMMANDER","680FP Commander 680FP","L"
"LandPlane","L2T","AC80","2","Turboprop/Turboshaft","AERO COMMANDER","680T Turbo Commander","L"
"LandPlane","L2T","AC80","2","Turboprop/Turboshaft","AERO COMMANDER","680V Turbo Commander","L"
"LandPlane","L2P","AC72","2","Piston","AERO COMMANDER","720 Alti Cruiser","L"
"LandPlane","L2J","JCOM","2","Jet","AERO COMMANDER","1121 Jet Commander","M"
"LandPlane","L1P","A9","1","Piston","AERO COMMANDER","A-9 Ag Commander","L"
"LandPlane","L1P","A9","1","Piston","AERO COMMANDER","Ag Commander (A-9)","L"
"LandPlane","L1P","CLB1","1","Piston","AERO COMMANDER","Ag Commander (B-1)","L"
"LandPlane","L1P","SS2P","1","Piston","AERO COMMANDER","Ag Commander (S-2)","L"
"LandPlane","L2P","AC72","2","Piston","AERO COMMANDER","Alti Cruiser","L"
"LandPlane","L1P","CLB1","1","Piston","AERO COMMANDER","B-1 Ag Commander","L"
"LandPlane","L1P","VO10","1","Piston","AERO COMMANDER","Commander 100","L"
"LandPlane","L1P","M200","1","Piston","AERO COMMANDER","Commander 200","L"
"LandPlane","L2P","AC50","2","Piston","AERO COMMANDER","Commander 500","L"
"LandPlane","L2P","AC56","2","Piston","AERO COMMANDER","Commander 560","L"
"LandPlane","L2P","AC68","2","Piston","AERO COMMANDER","Commander 680F","L"
"LandPlane","L2P","AC68","2","Piston","AERO COMMANDER","Commander 680FP","L"
"LandPlane","L2P","AC6L","2","Piston","AERO COMMANDER","Grand Commander","L"
"LandPlane","L2J","JCOM","2","Jet","AERO COMMANDER","Jet Commander","M"
"LandPlane","L1P","SS2P","1","Piston","AERO COMMANDER","S-2 Ag Commander","L"
"LandPlane","L2T","AC80","2","Turboprop/Turboshaft","AERO COMMANDER","Turbo Commander (680)","L"
"LandPlane","L1P","PULS","1","Piston","AERO DESIGNS","Pulsar","L"
"Helicopter","H1P","R22","1","Piston","AERO ELI","Yo-Yo","L"
"Amphibian","A1P","AGSH","1","Piston","AERO GARE","Sea Hawker","L"
"LandPlane","L1P","PETL","1","Piston","AERO ITBA","Petrel","L"
"LandPlane","L1P","RF5","1","Piston","AERO JAEN","RF-5 Serrania","L"
"LandPlane","L1P","RF5","1","Piston","AERO JAEN","Serrania","L"
"LandPlane","L1P","SCUB","1","Piston","AERO KUHLMANN","Scub","L"
"LandPlane","L1P","GAVI","1","Piston","AERO MERCANTIL","358 Gavilan","L"
"LandPlane","L1P","GAVI","1","Piston","AERO MERCANTIL","Gavilan","L"
"LandPlane","L1P","TC2","1","Piston","AERO MIRAGE","TC-2","L"
"LandPlane","L1P","G164","1","Piston","AERO MOD","G-164 Super Ag Max","L"
"LandPlane","L1P","G164","1","Piston","AERO MOD","Super Ag Max","L"
"LandPlane","L1P","GUEP","1","Piston","AERO SERVICES","Guepard","L"
"LandPlane","L1P","GUEP","1","Piston","AERO SERVICES","Guepy","L"
"LandPlane","L1P","GUEP","1","Piston","AERO SERVICES","Super Guepard","L"
"LandPlane","L1P","GEPE","1","Piston","AERO SERVICES","Guêpe ","L"
"LandPlane","L4T","SGUP","4","Turboprop/Turboshaft","AERO SPACELINES","377SGT Super Guppy","M"
"LandPlane","L4T","SGUP","4","Turboprop/Turboshaft","AERO SPACELINES","Super Guppy","M"
"LandPlane","L1P","QUAS","1","Piston","AEROALCOOL","Quasar Lite","L"
"LandPlane","L1P","MX80","1","Piston","AEROANDINA","Fantasy","L"
"LandPlane","L1P","MX80","1","Piston","AEROANDINA","MXP-800 Fantasy","L"
"LandPlane","L1P","MX1T","1","Piston","AEROANDINA","MXP-1000 Tayrona","L"
"LandPlane","L1P","MX1T","1","Piston","AEROANDINA","Tayrona","L"
"Gyrocopter","G1P","OKHO","1","Piston","AERO-ASTRA","Okhotnik","L"
"LandPlane","L1P","CH70","1","Piston","AEROBRAVO","Bravo","L"
"LandPlane","L1P","COZY","1","Piston","AEROCAD","AeroCanard","L"
"LandPlane","L1P","CAR","1","Piston","AEROCAR","Aerocar","L"
"Amphibian","A1P","COOT","1","Piston","AEROCAR","Coot","L"
"LandPlane","L1P","MIMP","1","Piston","AEROCAR","Mini-Imp","L"
"Amphibian","A1P","COOT","1","Piston","AEROCAR","Super Coot","L"
"LandPlane","L1P","CA3","1","Piston","AEROCOMP","CA-3 Comp Air 3","L"
"LandPlane","L1P","CA4","1","Piston","AEROCOMP","CA-4 Comp Air 4","L"
"LandPlane","L1P","CA4","1","Piston","AEROCOMP","CA-4 Comp Monster","L"
"LandPlane","L1P","CA6","1","Piston","AEROCOMP","CA-6 Comp Air 6","L"
"LandPlane","L1P","CA7P","1","Piston","AEROCOMP","CA-7P Comp Air 7P","L"
"LandPlane","L1P","CA7P","1","Piston","AEROCOMP","CA-7SL Comp Air 7SL","L"
"LandPlane","L1T","CA7T","1","Turboprop/Turboshaft","AEROCOMP","CA-7SLX Comp Air 7SLX","L"
"LandPlane","L1T","CA7T","1","Turboprop/Turboshaft","AEROCOMP","CA-7T Comp Air 7T","L"
"LandPlane","L1T","CA8","1","Turboprop/Turboshaft","AEROCOMP","CA-8 Comp Air 8","L"
"LandPlane","L1P","CA1P","1","Piston","AEROCOMP","CA-10 Comp Air 10","L"
"LandPlane","L1T","CA1T","1","Turboprop/Turboshaft","AEROCOMP","CA-10T  Comp Air 10T","L"
"LandPlane","L1T","CA1T","1","Turboprop/Turboshaft","AEROCOMP","CA-10XLT Comp Air 10XLT","L"
"LandPlane","L1J","CAJ","1","Jet","AEROCOMP","CA-J Comp Air Jet","L"
"LandPlane","L1P","CA3","1","Piston","AEROCOMP","Comp Air 3","L"
"LandPlane","L1P","CA4","1","Piston","AEROCOMP","Comp Air 4","L"
"LandPlane","L1P","CA6","1","Piston","AEROCOMP","Comp Air 6","L"
"LandPlane","L1P","CA7P","1","Piston","AEROCOMP","Comp Air 7P","L"
"LandPlane","L1P","CA7P","1","Piston","AEROCOMP","Comp Air 7SL","L"
"LandPlane","L1T","CA7T","1","Turboprop/Turboshaft","AEROCOMP","Comp Air 7SLX","L"
"LandPlane","L1T","CA7T","1","Turboprop/Turboshaft","AEROCOMP","Comp Air 7T","L"
"LandPlane","L1T","CA8","1","Turboprop/Turboshaft","AEROCOMP","Comp Air 8","L"
"LandPlane","L1P","CA1P","1","Piston","AEROCOMP","Comp Air 10","L"
"LandPlane","L1T","CA1T","1","Turboprop/Turboshaft","AEROCOMP","Comp Air 10T","L"
"LandPlane","L1J","CAJ","1","Jet","AEROCOMP","Comp Air Jet","L"
"LandPlane","L1P","CA4","1","Piston","AEROCOMP","Comp Monster","L"
"LandPlane","L1P","EZFL","1","Piston","AEROCOMP","E-Z Flyer","L"
"LandPlane","L1P","MAME","1","Piston","AEROCOMP","Merlin","L"
"Amphibian","A1P","AGSH","1","Piston","AERO-COMPOSITES","Sea Hawker","L"
"LandPlane","L1P","D11","1","Piston","AERO-DIFUSION","Compostela","L"
"LandPlane","L1P","D11","1","Piston","AERO-DIFUSION","D-112 Popuplane","L"
"LandPlane","L1P","D11","1","Piston","AERO-DIFUSION","D-119 Popuplane","L"
"LandPlane","L1P","D11","1","Piston","AERO-DIFUSION","D-1190S Compostela","L"
"LandPlane","L1P","D11","1","Piston","AERO-DIFUSION","Popuplane","L"
"LandPlane","L1P","G800","1","Piston","AERODIS","G-802 Orion","L"
"LandPlane","L1P","G800","1","Piston","AERODIS","Orion","L"
"LandPlane","L1P","J177","1","Piston","AERODYNOS","Evolution","L"
"LandPlane","L1P","J177","1","Piston","AERODYNOS","JA-177 Evolution","L"
"LandPlane","L1P","J177","1","Piston","AERODYNOS","JA-177 Pingouin","L"
"LandPlane","L1P","J177","1","Piston","AERODYNOS","Pingouin","L"
"LandPlane","L1P","S450","1","Piston","AERO-EAST-EUROPE","SILA-450","L"
"LandPlane","L1P","ISAT","1","Piston","AEROJAMES","01 Isatis","L"
"LandPlane","L1P","ISAT","1","Piston","AEROJAMES","Isatis","L"
"LandPlane","L1P","D11","1","Piston","AERO-JODEL","D-11","L"
"Helicopter","H1P","ZA6","1","Piston","AEROKOPTER","AK-1","L"
"Helicopter","H1P","ZA6","1","Piston","AEROKOPTER","ZA-6 Sanka","L"
"Helicopter","H1P","ZA6","1","Piston","AEROKOPTER","Sanka","L"
"LandPlane","L1P","MP02","1","Piston","AERO-KROS","MP-02 Czajka","L"
"LandPlane","L1P","MP02","1","Piston","AERO-KROS","Czajka","L"
"LandPlane","L1P","LOCA","1","Piston","AEROLAB","LoCamp","L"
"Amphibian","A1P","SKIF","1","Piston","AEROLITES","AeroSkiff","L"
"LandPlane","L1P","F8L","1","Piston","AEROMERE","F-8L Falco","L"
"LandPlane","L1P","F8L","1","Piston","AEROMERE","Falco","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","AMT-100 Ximango","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","AMT-200 Super Ximango","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","AMT-300 Turbo Ximango Shark","L"
"LandPlane","L1P","GURI","1","Piston","AEROMOT","AMT-600 Guri","L"
"LandPlane","L1P","GURI","1","Piston","AEROMOT","Guri","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","Super Ximango","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","TG-14 Super Ximango","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","Turbo Ximango Shark","L"
"LandPlane","L1P","RF10","1","Piston","AEROMOT","Ximango","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7AC Champion","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7BCM","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7CC Champion","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7CCM","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7DC Champion","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","7EC Traveler","L"
"LandPlane","L1P","AR11","1","Piston","AERONCA","11 Chief","L"
"LandPlane","L1P","AR15","1","Piston","AERONCA","15 Sedan","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","Champion","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","L-16","L"
"LandPlane","L1P","AR15","1","Piston","AERONCA","Sedan","L"
"LandPlane","L1P","CH7A","1","Piston","AERONCA","Traveler","L"
"LandPlane","L1P","AR11","1","Piston","AERONCA","Chief (11)","L"
"LandPlane","L1P","AERK","1","Piston","AERONCA","K Scout","L"
"LandPlane","L1P","AERK","1","Piston","AERONCA","K Sea Scout","L"
"LandPlane","L1P","AERK","1","Piston","AERONCA","CF Scout","L"
"LandPlane","L1P","AERK","1","Piston","AERONCA","Scout","L"
"LandPlane","L1P","AERK","1","Piston","AERONCA","Sea  Scout","L"
"LandPlane","L1P","AR50","1","Piston","AERONCA","50 Chief","L"
"LandPlane","L1P","AR50","1","Piston","AERONCA","Chief (50)","L"
"LandPlane","L1P","AR65","1","Piston","AERONCA","65 Super Chief","L"
"LandPlane","L1P","AR65","1","Piston","AERONCA","Super Chief","L"
"LandPlane","L1P","AR5T","1","Piston","AERONCA","50 Tandem","L"
"LandPlane","L1P","AR5T","1","Piston","AERONCA","Tandem (50)","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","60 Tandem","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","Tandem (60)","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","65 Tandem","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","Tandem (65)","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","65 Defender","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","Defender","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","YO-58 Grasshopper","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","O-58 Grasshopper","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","L-3 Grasshopper","L"
"LandPlane","L1P","AR6T","1","Piston","AERONCA","Grasshopper","L"
"LandPlane","L2P","AIRL","2","Piston","AERONIX","Airelle","L"
"LandPlane","L1P","LAKX","1","Piston","AEROPLASTIKA","LAK-X","L"
"LandPlane","L1P","A19","1","Piston","AEROPRACT","A-19","L"
"LandPlane","L1P","A21","1","Piston","AEROPRACT","A-21 Solo","L"
"LandPlane","L1P","A23","1","Piston","AEROPRACT","A-23 Dragon","L"
"Amphibian","A1P","A25","1","Piston","AEROPRACT","A-25 Breeze","L"
"LandPlane","L1P","A27","1","Piston","AEROPRACT","A-27","L"
"LandPlane","L1P","A33","1","Piston","AEROPRACT","A-33","L"
"LandPlane","L2P","AA37","2","Piston","AEROPRACT","A-37","L"
"Amphibian","A1P","A25","1","Piston","AEROPRACT","Breeze","L"
"LandPlane","L1P","A23","1","Piston","AEROPRACT","Dragon","L"
"LandPlane","L1P","A21","1","Piston","AEROPRACT","Solo","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","A-20","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","A-20 Sky Cruiser","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","A-20 Super Cruiser","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","A-20 Varlet","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","A-20 Vista","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","A-22","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","A-22 Foxbat","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","A-22 Valor","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","A-22 Vision","L"
"Amphibian","A1P","AP24","1","Piston","AEROPRAKT","A-24 Viking","L"
"LandPlane","L2P","AP26","2","Piston","AEROPRAKT","A-26 Twin Vista","L"
"LandPlane","L2P","AP28","2","Piston","AEROPRAKT","A-28 Victor","L"
"LandPlane","L2P","AP36","2","Piston","AEROPRAKT","A-36 Vulcan","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","Foxbat","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","SA-20 Vista","L"
"LandPlane","L2P","AP26","2","Piston","AEROPRAKT","SA-26 Twin Vista","L"
"LandPlane","L2P","AP28","2","Piston","AEROPRAKT","SA-28 Victor","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","Sky Cruiser","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","Super Cruiser","L"
"LandPlane","L2P","AP26","2","Piston","AEROPRAKT","Twin Vista","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","Valor","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","Varlet","L"
"LandPlane","L2P","AP28","2","Piston","AEROPRAKT","Victor","L"
"Amphibian","A1P","AP24","1","Piston","AEROPRAKT","Viking","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","Vision","L"
"LandPlane","L1P","AP20","1","Piston","AEROPRAKT","Vista","L"
"LandPlane","L2P","AP36","2","Piston","AEROPRAKT","Vulcan","L"
"LandPlane","L1P","AP32","1","Piston","AEROPRAKT","A-32 Vixxen","L"
"LandPlane","L1P","AP32","1","Piston","AEROPRAKT","Vixxen","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","A-22 Sharik","L"
"LandPlane","L1P","AP22","1","Piston","AEROPRAKT","Sharik","L"
"LandPlane","L1P","EFOX","1","Piston","AEROPRO","Eurofox","L"
"LandPlane","L1P","T411","1","Piston","AEROPROGRESS","Aist-2","L"
"LandPlane","L1T","T101","1","Turboprop/Turboshaft","AEROPROGRESS","Grach","L"
"LandPlane","L1T","T101","1","Turboprop/Turboshaft","AEROPROGRESS","T-101 Grach","L"
"LandPlane","L1P","T411","1","Piston","AEROPROGRESS","T-411 Aist-2","L"
"LandPlane","L1P","APUP","1","Piston","AEROPUP","Aeropup","L"
"Amphibian","A1T","DNGO","1","Turboprop/Turboshaft","AERORIC","Dingo","L"
"LandPlane","L1P","UL2F","1","Piston","AEROS","Flamingo","L"
"LandPlane","L1P","UL2F","1","Piston","AEROS","UL-2000 Flamingo","L"
"LandPlane","L2P","F41E","2","Piston","AEROSAMARA","El'brus","L"
"LandPlane","L1P","KATR","1","Piston","AEROSAMARA","Katran","L"
"LandPlane","L2P","F41E","2","Piston","AEROSAMARA","F-41 El'brus","L"
"LandPlane","L1P","MH46","1","Piston","AEROSETTE","MH-46 Eclipse","L"
"LandPlane","L1P","MH46","1","Piston","AEROSETTE","Eclipse","L"
"Helicopter","H1T","ALO2","1","Turboprop/Turboshaft","AEROSPATIALE","Alouette 2","L"
"Helicopter","H1T","ALO3","1","Turboprop/Turboshaft","AEROSPATIALE","Alouette 3","L"
"Helicopter","H2T","AS32","2","Turboprop/Turboshaft","AEROSPATIALE","AS-332B1 Super Puma","M"
